"country","sea","eu","redmeat","whitmeat","eggs","milk","fish","cereals","starch","nuts","fruits","total","class"
"Albania","not at sea","non-EU",10,1,1,9,0,42,1,6,2,72,"non-EU not at sea"
"Austria","not at sea","EU",9,14,4,20,2,28,4,1,4,86,"EU not at sea"
"Belgium","at sea","EU",14,9,4,18,5,27,6,2,4,89,"EU at sea"
"Bulgaria","not at sea","non-EU",8,6,2,8,1,57,1,4,4,91,"non-EU not at sea"
"Czechoslovakia","not at sea","non-EU",10,11,3,13,2,34,5,1,4,83,"non-EU not at sea"
"Denmark","at sea","EU",11,11,4,25,10,22,5,1,2,91,"EU at sea"
"E. Germany","at sea","EU",8,12,4,11,5,25,7,1,4,77,"EU at sea"
"Finland","at sea","non-EU",10,5,3,34,6,26,5,1,1,91,"non-EU at sea"
"France","at sea","EU",18,10,3,20,6,28,5,2,7,99,"EU at sea"
"Greece","at sea","EU",10,3,3,18,6,42,2,8,7,99,"EU at sea"
"Hungary","not at sea","non-EU",5,12,3,10,0,40,4,5,4,83,"non-EU not at sea"
"Ireland","at sea","EU",14,10,5,26,2,24,6,2,3,92,"EU at sea"
"Italy","at sea","EU",9,5,3,14,3,37,2,4,7,84,"EU at sea"
"Netherlands","at sea","EU",10,14,4,23,3,22,4,2,4,86,"EU at sea"
"Norway","at sea","non-EU",9,5,3,23,10,23,5,2,3,83,"non-EU at sea"
"Poland","not at sea","non-EU",7,10,3,19,3,36,6,2,7,93,"non-EU not at sea"
"Portugal","at sea","EU",6,4,1,5,14,27,6,5,8,76,"EU at sea"
"Romania","not at sea","non-EU",6,6,2,11,1,50,3,5,3,87,"non-EU not at sea"
"Spain","at sea","EU",7,3,3,9,7,29,6,6,7,77,"EU at sea"
"Sweden","at sea","EU",10,8,4,25,8,20,4,1,2,82,"EU at sea"
"Switzerland","not at sea","non-EU",13,10,3,24,2,26,3,2,5,88,"non-EU not at sea"
"UK","at sea","EU",17,6,5,21,4,24,5,3,3,88,"EU at sea"
"USSR","at sea","non-EU",9,5,2,17,3,44,6,3,3,92,"non-EU at sea"
"W. Germany","at sea","EU",11,13,4,19,3,19,5,2,4,80,"EU at sea"
"Yugoslavia","at sea","non-EU",4,5,1,10,1,56,3,6,3,89,"non-EU at sea"
